Match_No,Innings,match_date,Versus,mode_of_dismissal,Runs,Balls_faced
1,1,1989-12-18 00:00:00,Pakistan,c Wasim Akram b Waqar Younis,0,2
2,2,1990-03-01 00:00:00,New Zealand,c & b S A Thomson,0,2
3,3,1990-03-06 00:00:00,New Zealand,c †I D S Smith b S A Thomson,36,39
4,4,1990-04-25 00:00:00,Sri Lanka,run out,10,12
5,5,1990-04-27 00:00:00,Pakistan,c Saeed Anwar b Imran Khan,20,25
6,6,1990-07-18 00:00:00,England,b D E Malcolm,19,35
7,7,1990-07-20 00:00:00,England,b A R C Fraser,31,26
8,8,1990-12-01 00:00:00,Sri Lanka,b R J Ratnayake,36,22
9,9,1990-12-05 00:00:00,Sri Lanka,b G F Labrooy,53,41
10,10,1990-12-08 00:00:00,Sri Lanka,c & b S D Anurasiri,30,29
12,11,1990-12-28 00:00:00,Sri Lanka,lbw b A Ranatunga,4,11
13,12,1991-01-04 00:00:00,Sri Lanka,lbw b R J Ratnayake,53,70
14,13,1991-10-18 00:00:00,Pakistan,not out,52,40
15,14,1991-10-19 00:00:00,West Indies,run out,22,27
16,15,1991-10-22 00:00:00,West Indies,not out,11,27
17,16,1991-10-23 00:00:00,Pakistan,c sub b Saleem Malik,49,38
18,17,1991-10-25 00:00:00,Pakistan,lbw b Aaqib Javed,0,1
19,18,1991-11-10 00:00:00,South Africa,c R P Snell b A A Donald,62,73
20,19,1991-11-12 00:00:00,South Africa,c †D J Richardson b C R Matthews,4,8
21,20,1991-11-14 00:00:00,South Africa,c S J Cook b A A Donald,1,3
22,21,1991-12-06 00:00:00,West Indies,c R B Richardson b A C Cummins,1,9
23,22,1991-12-08 00:00:00,Australia,c P L Taylor b T M Moody,36,65
24,23,1991-12-10 00:00:00,Australia,c S R Waugh b P L Taylor,57,107
25,24,1991-12-14 00:00:00,West Indies,c & b K L T Arthurton,48,57
26,25,1991-12-15 00:00:00,Australia,c D M Jones b S R Waugh,21,35
27,26,1992-01-11 00:00:00,West Indies,c sub b A C Cummins,77,127
28,27,1992-01-14 00:00:00,Australia,run out,31,44
29,28,1992-01-16 00:00:00,West Indies,not out,57,88
30,29,1992-01-18 00:00:00,Australia,c M R Whitney b T M Moody,4,10
31,30,1992-01-20 00:00:00,Australia,c M R Whitney b S R Waugh,69,100
32,31,1992-02-22 00:00:00,England,c †A J Stewart b I T Botham,35,44
34,32,1992-03-01 00:00:00,Australia,c S R Waugh b T M Moody,11,19
35,33,1992-03-04 00:00:00,Pakistan,not out,54,62
36,34,1992-03-07 00:00:00,Zimbabwe,c A D R Campbell b M G Burmester,81,77
37,35,1992-03-10 00:00:00,West Indies,c †D Williams b C E L Ambrose,4,11
38,36,1992-03-12 00:00:00,New Zealand,c †I D S Smith b C Z Harris,84,107
39,37,1992-03-15 00:00:00,South Africa,c K C Wessels b A P Kuiper,14,14
40,38,1992-10-25 00:00:00,Zimbabwe,c D H Brain b G J Crocker,39,56
41,39,1992-12-07 00:00:00,South Africa,b B M McMillan,15,27
42,40,1992-12-09 00:00:00,South Africa,c †D J Richardson b D J Callaghan,10,36
43,41,1992-12-11 00:00:00,South Africa,c †D J Richardson b C R Matthews,22,24
44,42,1992-12-13 00:00:00,South Africa,c B M McMillan b A A Donald,21,44
45,43,1992-12-15 00:00:00,South Africa,b P S De Villiers,32,52
46,44,1992-12-17 00:00:00,South Africa,c W J Cronje b M W Pringle,23,39
47,45,1992-12-19 00:00:00,South Africa,c †D J Richardson b C R Matthews,21,38
48,46,1993-01-18 00:00:00,England,not out,82,81
49,47,1993-01-21 00:00:00,England,lbw b P A J De Freitas,1,5
50,48,1993-02-26 00:00:00,England,c G A Hick b C C Lewis,3,6
51,49,1993-03-01 00:00:00,England,b P W Jarvis,24,32
52,50,1993-03-04 00:00:00,England,b P W Jarvis,5,6
53,51,1993-03-05 00:00:00,England,c sub b C C Lewis,34,30
54,52,1993-03-19 00:00:00,Zimbabwe,c & b G W Flower,3,9
55,53,1993-03-22 00:00:00,Zimbabwe,not out,8,6
57,54,1993-07-25 00:00:00,Sri Lanka,c A P Gurusinha b S T Jayasuriya,21,39
58,55,1993-08-12 00:00:00,Sri Lanka,run out,15,30
59,56,1993-08-14 00:00:00,Sri Lanka,c M Muralitharan b S T Jayasuriya,25,39
60,57,1993-11-07 00:00:00,Sri Lanka,not out,26,30
61,58,1993-11-16 00:00:00,West Indies,lbw b C A Walsh,2,8
62,59,1993-11-18 00:00:00,Zimbabwe,c & b H H Streak,24,16
63,60,1993-11-22 00:00:00,South Africa,c †D J Richardson b W J Cronje,3,25
64,61,1993-11-24 00:00:00,South Africa,c †D J Richardson b R P Snell,15,31
65,62,1993-11-27 00:00:00,West Indies,not out,28,43
66,63,1994-02-15 00:00:00,Sri Lanka,c A Ranatunga b R S Kalpage,1,5
67,64,1994-02-18 00:00:00,Sri Lanka,not out,11,18
68,65,1994-02-20 00:00:00,Sri Lanka,run out,52,63
69,66,1994-03-25 00:00:00,New Zealand,c K R Rutherford b D J Nash,15,19
70,67,1994-03-27 00:00:00,New Zealand,c & b M N Hart,82,49
71,68,1994-03-30 00:00:00,New Zealand,lbw b G R Larsen,63,75
72,69,1994-04-02 00:00:00,New Zealand,b G R Larsen,40,26
73,70,1994-04-13 00:00:00,United Arab Emirates,c †Imtiaz Abbasi b Sultan Zarawani,63,77
74,71,1994-04-15 00:00:00,Pakistan,c Basit Ali b Akram Raza,73,64
75,72,1994-04-19 00:00:00,Australia,c M A Taylor b G D McGrath,6,7
76,73,1994-04-22 00:00:00,Pakistan,c Aamir Sohail b AtaUrRehman,24,26
77,74,1994-09-04 00:00:00,Sri Lanka,not out,11,16
78,75,1994-09-05 00:00:00,Sri Lanka,c H D P K Dharmasena b G P Wickramasinghe,6,5
79,76,1994-09-09 00:00:00,Australia,b C J McDermott,110,130
80,77,1994-09-17 00:00:00,Sri Lanka,c P A de Silva b W P U J C Vaas,0,2
81,78,1994-10-17 00:00:00,West Indies,c B C Lara b C A Walsh,0,4
82,79,1994-10-20 00:00:00,West Indies,c C L Hooper b C E Cuffy,0,4
83,80,1994-10-23 00:00:00,West Indies,c C L Hooper b A C Cummins,8,24
84,81,1994-10-28 00:00:00,New Zealand,run out,115,136
85,82,1994-10-30 00:00:00,West Indies,b A C Cummins,34,47
86,83,1994-11-03 00:00:00,New Zealand,b M N Hart,62,54
87,84,1994-11-05 00:00:00,West Indies,c S C Williams b C E Cuffy,66,68
88,85,1994-11-07 00:00:00,West Indies,c A C Cummins b C L Hooper,54,64
89,86,1994-11-09 00:00:00,West Indies,b P V Simmons,88,112
90,87,1994-11-11 00:00:00,West Indies,c †J C Adams b B S Browne,105,134
91,88,1995-02-16 00:00:00,New Zealand,c S A Thomson b D K Morrison,13,15
92,89,1995-02-18 00:00:00,South Africa,c P L Symcox b W J Cronje,37,51
93,90,1995-02-22 00:00:00,Australia,c M A Taylor b J Angel,47,40
94,91,1995-04-05 00:00:00,Bangladesh,b Mohammad Rafique,48,30
95,92,1995-04-07 00:00:00,Pakistan,c †Moin Khan b Aaqib Javed,4,9
96,93,1995-04-09 00:00:00,Sri Lanka,not out,112,107
97,94,1995-04-14 00:00:00,Sri Lanka,c S T Jayasuriya b C P H Ramanayake,41,41
98,95,1995-11-15 00:00:00,New Zealand,c M J Greatbatch b D K Morrison,30,20
99,96,1995-11-18 00:00:00,New Zealand,c †L K Germon b S A Thomson,39,51
100,97,1995-11-24 00:00:00,New Zealand,c G R Larsen b D K Morrison,7,11
101,98,1995-11-26 00:00:00,New Zealand,run out,65,59
102,99,1995-11-29 00:00:00,New Zealand,b D K Morrison,1,4
103,100,1996-02-18 00:00:00,Kenya,not out,127,138
